unix,date,symbol,open,high,low,close,Volume BTC,volume
1651413600,2022-05-01 14:00:00,BTC/USDT,37952.11,37952.11,37952.11,37952.11,0.00000000,0.0
1651410000,2022-05-01 13:00:00,BTC/USDT,37952.11,37952.11,37952.11,37952.11,0.02650000,1005.730915
1651406400,2022-05-01 12:00:00,BTC/USDT,37937.58,37956.69,37937.58,37956.69,0.18020000,6839.795538
1651402800,2022-05-01 11:00:00,BTC/USDT,38047.02,38047.02,38047.02,38047.02,0.00000000,0.0
1651399200,2022-05-01 10:00:00,BTC/USDT,38047.02,38047.02,38047.02,38047.02,0.00784555,298.49979776099997
1651395600,2022-05-01 09:00:00,BTC/USDT,38050.40,38050.40,38050.40,38050.40,0.00000000,0.0
1651392000,2022-05-01 08:00:00,BTC/USDT,38050.40,38050.40,38050.40,38050.40,0.12500000,4756.3
1651388400,2022-05-01 07:00:00,BTC/USDT,38095.40,38095.40,38095.40,38095.40,0.00000000,0.0
1651384800,2022-05-01 06:00:00,BTC/USDT,38095.40,38095.40,38095.40,38095.40,0.19555431,7449.719661174001
1651381200,2022-05-01 05:00:00,BTC/USDT,38017.31,38114.33,38017.31,38095.40,0.03939598,1500.805616492
1651377600,2022-05-01 04:00:00,BTC/USDT,38030.29,38030.29,37894.94,37930.62,0.21063332,7989.452420258401
1651374000,2022-05-01 03:00:00,BTC/USDT,37974.71,37986.95,37974.71,37986.95,0.16877434,6411.222414862999
1651370400,2022-05-01 02:00:00,BTC/USDT,37899.17,37899.17,37886.32,37886.32,1.00094296,37922.0452843072
1651366800,2022-05-01 01:00:00,BTC/USDT,37485.95,37685.36,37485.95,37639.98,0.33145565,12475.984036887001
1651363200,2022-05-01 00:00:00,BTC/USDT,37500.00,37688.36,37500.00,37688.36,0.14085242,5308.496711831201
1651359600,2022-04-30 23:00:00,BTC/USDT,38148.34,38148.34,37585.13,37689.39,2.92797891,110353.73905076491
1651356000,2022-04-30 22:00:00,BTC/USDT,38252.40,38284.35,38252.40,38284.35,0.21503695,8232.5498567325
1651352400,2022-04-30 21:00:00,BTC/USDT,38350.72,38350.76,38350.72,38350.76,0.01563268,599.5251588368
1651348800,2022-04-30 20:00:00,BTC/USDT,38451.72,38451.72,38451.72,38451.72,0.00000000,0.0
1651345200,2022-04-30 19:00:00,BTC/USDT,38348.83,38451.72,38348.83,38451.72,0.04064494,1562.8678522968
1651341600,2022-04-30 18:00:00,BTC/USDT,38266.52,38266.52,38266.52,38266.52,0.00000000,0.0
1651338000,2022-04-30 17:00:00,BTC/USDT,38399.13,38399.13,38266.52,38266.52,0.48444056,18537.8543780512
1651334400,2022-04-30 16:00:00,BTC/USDT,38307.94,38307.94,38307.94,38307.94,0.00000000,0.0
1651330800,2022-04-30 15:00:00,BTC/USDT,38221.63,38423.76,38217.43,38307.94,0.79681815,30524.461881111
1651327200,2022-04-30 14:00:00,BTC/USDT,38512.15,38536.20,38361.54,38399.37,1.25104158,48039.20851580461
1651323600,2022-04-30 13:00:00,BTC/USDT,38582.28,38582.28,38566.84,38566.84,0.07921547,3055.0903570148
1651320000,2022-04-30 12:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651316400,2022-04-30 11:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651312800,2022-04-30 10:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651309200,2022-04-30 09:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651305600,2022-04-30 08:00:00,BTC/USDT,38612.32,38658.59,38612.32,38658.59,0.13760080,5319.452910871999
1651302000,2022-04-30 07:00:00,BTC/USDT,38688.40,38688.40,38652.98,38652.98,0.01683075,650.558643135
1651298400,2022-04-30 06:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651294800,2022-04-30 05:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651291200,2022-04-30 04:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651287600,2022-04-30 03:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651284000,2022-04-30 02:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651280400,2022-04-30 01:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651276800,2022-04-30 00:00:00,BTC/USDT,38627.29,38627.29,38593.37,38593.37,0.01938486,748.1270743782001
1651273200,2022-04-29 23:00:00,BTC/USDT,38567.68,38567.68,38567.68,38567.68,0.00000000,0.0
1651269600,2022-04-29 22:00:00,BTC/USDT,38567.68,38567.68,38567.68,38567.68,0.00128994,49.7499931392
1651266000,2022-04-29 21:00:00,BTC/USDT,38500.00,38500.00,38500.00,38500.00,3.00000000,115500.0
