Date,Open,High,Low,Close,Volume
2023-03-25 06:00:00,27492.0,27575.0,27445.0,27531.0,539160.66
2023-03-25 07:00:00,27532.0,27610.0,27516.0,27526.0,621890.17
2023-03-25 08:00:00,27525.0,27547.0,27374.0,27471.0,770721.39
2023-03-25 09:00:00,27470.0,27547.0,27363.0,27519.0,1325618.65
2023-03-25 10:00:00,27512.0,27560.0,27437.0,27519.0,691158.28
2023-03-25 11:00:00,27514.0,27555.0,27458.0,27490.0,539290.09
2023-03-25 12:00:00,27492.0,27521.0,27423.0,27489.0,658070.87
2023-03-25 13:00:00,27489.0,27638.0,27398.0,27599.0,1053192.16
2023-03-25 14:00:00,27614.0,27670.0,27585.0,27616.0,637309.65
2023-03-25 15:00:00,27582.0,27810.0,27532.0,27686.0,1855462.42
2023-03-25 16:00:00,27687.0,27758.0,27662.0,27685.0,1425328.05
2023-03-25 17:00:00,27684.0,27699.0,27445.0,27525.0,1685755.95
2023-03-25 18:00:00,27525.0,27604.0,27486.0,27498.0,1810525.42
2023-03-25 19:00:00,27504.0,27504.0,27228.0,27243.0,2236126.85
2023-03-25 20:00:00,27246.0,27460.0,27210.0,27386.0,1619719.64
2023-03-25 21:00:00,27386.0,27468.0,27382.0,27449.0,571959.81
2023-03-25 22:00:00,27439.0,27550.0,27432.0,27457.0,2101927.61
2023-03-25 23:00:00,27471.0,27519.0,27440.0,27499.0,625191.19
2023-03-26 00:00:00,27493.0,27652.0,27453.0,27569.0,2155920.33
2023-03-26 01:00:00,27569.0,27673.0,27556.0,27630.0,605018.93
2023-03-26 02:00:00,27629.0,27644.0,27595.0,27625.0,163418.3
2023-03-26 03:00:00,27624.0,27640.0,27535.0,27558.0,262192.73
2023-03-26 04:00:00,27560.0,27562.0,27500.0,27545.0,179318.34
2023-03-26 05:00:00,27545.0,27588.0,27507.0,27583.0,714459.54
2023-03-26 06:00:00,27582.0,27607.0,27520.0,27530.0,788158.1
2023-03-26 07:00:00,27532.0,27570.0,27520.0,27538.0,195598.54
2023-03-26 08:00:00,27539.0,27783.0,27522.0,27696.0,1254051.64
2023-03-26 09:00:00,27698.0,27764.0,27647.0,27716.0,1128490.35
2023-03-26 10:00:00,27718.0,27738.0,27669.0,27704.0,381294.08
2023-03-26 11:00:00,27709.0,27930.0,27683.0,27903.0,1766043.11
2023-03-26 12:00:00,27927.0,28004.0,27870.0,27948.0,1398449.98
2023-03-26 13:00:00,27947.0,28217.0,27913.0,28174.0,3193469.78
2023-03-26 14:00:00,28185.0,28187.0,27746.0,27818.0,4061801.54
2023-03-26 15:00:00,27820.0,27905.0,27755.0,27841.0,1034780.53
2023-03-26 16:00:00,27838.0,27906.0,27680.0,27728.0,1090665.37
2023-03-26 17:00:00,27727.0,27880.0,27696.0,27860.0,749658.62
2023-03-26 18:00:00,27860.0,27952.0,27805.0,27841.0,1679398.94
